OBJECTID,Class_Name,LANS,MSJC,MSSH
45,High Intensity Developed to Unconsolidated Shore,0,1,0
46,High Intensity Developed to Bare Land,0,4,0
47,High Intensity Developed to Water,0,0,0
48,High Intensity Developed to Palustrine Aquatic Bed,0,0,0
49,High Intensity Developed to Estuarine Aquatic Bed,0,0,0
50,High Intensity Developed to Tundra,0,0,0
51,High Intensity Developed to Snow/Ice,0,0,0
52,Medium Intensity Developed to Unclassified,0,0,0
53,Medium Intensity Developed to High Intensity Developed,0,7,0
54,Medium Intensity Developed to Medium Intensity Developed,0,6653,3616
55,Medium Intensity Developed to Low Intensity Developed,0,24,0
56,Medium Intensity Developed to Developed Open Space,0,0,0
57,Medium Intensity Developed to Cultivated,0,0,0
58,Medium Intensity Developed to Pasture/Hay,0,0,0
59,Medium Intensity Developed to Grassland,0,0,0
60,Medium Intensity Developed to Deciduous Forest,0,0,0
61,Medium Intensity Developed to Evergreen Forest,0,0,0
62,Medium Intensity Developed to Mixed Forest,0,0,0
63,Medium Intensity Developed to Scrub/Shrub,0,0,0
64,Medium Intensity Developed to Palustrine Forested Wetland,0,0,0
65,Medium Intensity Developed to Palustrine Scrub/Shrub Wetland,0,0,0
66,Medium Intensity Developed to Palustrine Emergent Wetland,0,0,0
67,Medium Intensity Developed to Estuarine Forested Wetland,0,0,0
68,Medium Intensity Developed to Estuarine Scrub/Shrub Wetland,0,0,0
69,Medium Intensity Developed to Estuarine Emergent Wetland,0,0,0
70,Medium Intensity Developed to Unconsolidated Shore,0,4,0
71,Medium Intensity Developed to Bare Land,0,2,3
72,Medium Intensity Developed to Water,0,1,0
73,Medium Intensity Developed to Palustrine Aquatic Bed,0,0,0
74,Medium Intensity Developed to Estuarine Aquatic Bed,0,0,0
75,Medium Intensity Developed to Tundra,0,0,0
76,Medium Intensity Developed to Snow/Ice,0,0,0
77,Low Intensity Developed to Unclassified,0,0,0
78,Low Intensity Developed to High Intensity Developed,0,22,3
79,Low Intensity Developed to Medium Intensity Developed,0,52,19
80,Low Intensity Developed to Low Intensity Developed,0,42182,29457
81,Low Intensity Developed to Developed Open Space,0,13,0
82,Low Intensity Developed to Cultivated,0,0,0
83,Low Intensity Developed to Pasture/Hay,0,0,0
84,Low Intensity Developed to Grassland,0,0,0
85,Low Intensity Developed to Deciduous Forest,0,0,0
86,Low Intensity Developed to Evergreen Forest,0,0,0
87,Low Intensity Developed to Mixed Forest,0,0,0
88,Low Intensity Developed to Scrub/Shrub,0,0,0
89,Low Intensity Developed to Palustrine Forested Wetland,0,0,0
90,Low Intensity Developed to Palustrine Scrub/Shrub Wetland,0,0,0
91,Low Intensity Developed to Palustrine Emergent Wetland,0,0,0
92,Low Intensity Developed to Estuarine Forested Wetland,0,0,0
93,Low Intensity Developed to Estuarine Scrub/Shrub Wetland,0,0,0
94,Low Intensity Developed to Estuarine Emergent Wetland,0,0,0
95,Low Intensity Developed to Unconsolidated Shore,0,0,0
96,Low Intensity Developed to Bare Land,0,64,70
97,Low Intensity Developed to Water,0,0,3
98,Low Intensity Developed to Palustrine Aquatic Bed,0,0,0
99,Low Intensity Developed to Estuarine Aquatic Bed,0,0,0
100,Low Intensity Developed to Tundra,0,0,0
101,Low Intensity Developed to Snow/Ice,0,0,0
102,Developed Open Space to Unclassified,0,0,0
103,Developed Open Space to High Intensity Developed,0,25,33
104,Developed Open Space to Medium Intensity Developed,0,206,81
105,Developed Open Space to Low Intensity Developed,0,164,59
106,Developed Open Space to Developed Open Space,0,16186,11932
107,Developed Open Space to Cultivated,0,0,0
108,Developed Open Space to Pasture/Hay,0,0,0
109,Developed Open Space to Grassland,0,9,19
110,Developed Open Space to Deciduous Forest,0,0,0
111,Developed Open Space to Evergreen Forest,0,0,0
112,Developed Open Space to Mixed Forest,0,0,0
113,Developed Open Space to Scrub/Shrub,0,0,59
114,Developed Open Space to Palustrine Forested Wetland,0,0,0
115,Developed Open Space to Palustrine Scrub/Shrub Wetland,0,2,7
116,Developed Open Space to Palustrine Emergent Wetland,0,4,1
117,Developed Open Space to Estuarine Forested Wetland,0,0,0
118,Developed Open Space to Estuarine Scrub/Shrub Wetland,0,0,0
119,Developed Open Space to Estuarine Emergent Wetland,0,0,0
120,Developed Open Space to Unconsolidated Shore,0,0,0
121,Developed Open Space to Bare Land,0,9,28
122,Developed Open Space to Water,0,1,0
123,Developed Open Space to Palustrine Aquatic Bed,0,0,0
124,Developed Open Space to Estuarine Aquatic Bed,0,0,0
125,Developed Open Space to Tundra,0,0,0
126,Developed Open Space to Snow/Ice,0,0,0
127,Cultivated to Unclassified,0,0,0
128,Cultivated to High Intensity Developed,0,0,0
129,Cultivated to Medium Intensity Developed,0,2,0
130,Cultivated to Low Intensity Developed,0,4,0
131,Cultivated to Developed Open Space,0,0,3
132,Cultivated to Cultivated,0,3681,4449
133,Cultivated to Pasture/Hay,0,0,0
134,Cultivated to Grassland,0,22,0
135,Cultivated to Deciduous Forest,0,0,0
136,Cultivated to Evergreen Forest,0,0,0
137,Cultivated to Mixed Forest,0,0,0
138,Cultivated to Scrub/Shrub,0,0,15
139,Cultivated to Palustrine Forested Wetland,0,0,0
140,Cultivated to Palustrine Scrub/Shrub Wetland,0,0,0
141,Cultivated to Palustrine Emergent Wetland,0,0,0
142,Cultivated to Estuarine Forested Wetland,0,0,0
143,Cultivated to Estuarine Scrub/Shrub Wetland,0,0,0
144,Cultivated to Estuarine Emergent Wetland,0,0,0
145,Cultivated to Unconsolidated Shore,0,0,0
146,Cultivated to Bare Land,0,0,0
147,Cultivated to Water,0,0,0
148,Cultivated to Palustrine Aquatic Bed,0,0,0
149,Cultivated to Estuarine Aquatic Bed,0,0,0
150,Cultivated to Tundra,0,0,0
151,Cultivated to Snow/Ice,0,0,0
152,Pasture/Hay to Unclassified,0,0,0
153,Pasture/Hay to High Intensity Developed,0,1,1
154,Pasture/Hay to Medium Intensity Developed,0,33,30
155,Pasture/Hay to Low Intensity Developed,0,73,64
156,Pasture/Hay to Developed Open Space,0,68,72
157,Pasture/Hay to Cultivated,0,0,0
158,Pasture/Hay to Pasture/Hay,0,11248,4029
159,Pasture/Hay to Grassland,0,45,27
160,Pasture/Hay to Deciduous Forest,0,0,0
161,Pasture/Hay to Evergreen Forest,0,1,0
162,Pasture/Hay to Mixed Forest,0,0,0
163,Pasture/Hay to Scrub/Shrub,0,3,99
164,Pasture/Hay to Palustrine Forested Wetland,0,0,0
165,Pasture/Hay to Palustrine Scrub/Shrub Wetland,0,0,0
166,Pasture/Hay to Palustrine Emergent Wetland,0,0,0
167,Pasture/Hay to Estuarine Forested Wetland,0,0,0
168,Pasture/Hay to Estuarine Scrub/Shrub Wetland,0,0,0
169,Pasture/Hay to Estuarine Emergent Wetland,0,0,0
170,Pasture/Hay to Unconsolidated Shore,0,0,0
171,Pasture/Hay to Bare Land,0,3,7
172,Pasture/Hay to Water,0,0,1
173,Pasture/Hay to Palustrine Aquatic Bed,0,0,0
174,Pasture/Hay to Estuarine Aquatic Bed,0,0,0
175,Pasture/Hay to Tundra,0,0,0
176,Pasture/Hay to Snow/Ice,0,0,0
177,Grassland to Unclassified,0,0,0
178,Grassland to High Intensity Developed,0,3,9
179,Grassland to Medium Intensity Developed,0,62,23
180,Grassland to Low Intensity Developed,0,138,37
181,Grassland to Developed Open Space,0,271,144
182,Grassland to Cultivated,0,0,0
183,Grassland to Pasture/Hay,0,0,0
184,Grassland to Grassland,0,10333,7029
185,Grassland to Deciduous Forest,0,0,0
186,Grassland to Evergreen Forest,0,453,29
187,Grassland to Mixed Forest,0,3,0
188,Grassland to Scrub/Shrub,0,549,9203
189,Grassland to Palustrine Forested Wetland,0,0,3
190,Grassland to Palustrine Scrub/Shrub Wetland,0,0,30
191,Grassland to Palustrine Emergent Wetland,0,0,1
192,Grassland to Estuarine Forested Wetland,0,0,0
193,Grassland to Estuarine Scrub/Shrub Wetland,0,0,0
194,Grassland to Estuarine Emergent Wetland,0,4,0
195,Grassland to Unconsolidated Shore,0,0,2
196,Grassland to Bare Land,0,69,202
197,Grassland to Water,0,3,18
198,Grassland to Palustrine Aquatic Bed,0,0,0
199,Grassland to Estuarine Aquatic Bed,0,0,0
200,Grassland to Tundra,0,0,0
201,Grassland to Snow/Ice,0,0,0
202,Deciduous Forest to Unclassified,0,0,0
203,Deciduous Forest to High Intensity Developed,0,0,0
204,Deciduous Forest to Medium Intensity Developed,0,1,0
205,Deciduous Forest to Low Intensity Developed,0,2,0
206,Deciduous Forest to Developed Open Space,0,1,0
207,Deciduous Forest to Cultivated,0,0,0
208,Deciduous Forest to Pasture/Hay,0,0,0
209,Deciduous Forest to Grassland,0,13,4
210,Deciduous Forest to Deciduous Forest,0,1901,302
211,Deciduous Forest to Evergreen Forest,0,0,0
212,Deciduous Forest to Mixed Forest,0,0,0
213,Deciduous Forest to Scrub/Shrub,0,1,32
214,Deciduous Forest to Palustrine Forested Wetland,0,0,0
215,Deciduous Forest to Palustrine Scrub/Shrub Wetland,0,0,0
216,Deciduous Forest to Palustrine Emergent Wetland,0,0,0
217,Deciduous Forest to Estuarine Forested Wetland,0,0,0
218,Deciduous Forest to Estuarine Scrub/Shrub Wetland,0,0,0
219,Deciduous Forest to Estuarine Emergent Wetland,0,0,0
220,Deciduous Forest to Unconsolidated Shore,0,0,0
221,Deciduous Forest to Bare Land,0,0,0
222,Deciduous Forest to Water,0,0,0
223,Deciduous Forest to Palustrine Aquatic Bed,0,0,0
224,Deciduous Forest to Estuarine Aquatic Bed,0,0,0
225,Deciduous Forest to Tundra,0,0,0
226,Deciduous Forest to Snow/Ice,0,0,0
227,Evergreen Forest to Unclassified,0,0,0
228,Evergreen Forest to High Intensity Developed,0,75,25
229,Evergreen Forest to Medium Intensity Developed,0,461,73
230,Evergreen Forest to Low Intensity Developed,0,452,58
231,Evergreen Forest to Developed Open Space,0,360,650
232,Evergreen Forest to Cultivated,0,0,0
233,Evergreen Forest to Pasture/Hay,0,0,0
234,Evergreen Forest to Grassland,0,1949,6353
235,Evergreen Forest to Deciduous Forest,0,0,0
236,Evergreen Forest to Evergreen Forest,0,62836,54592
237,Evergreen Forest to Mixed Forest,0,0,0
238,Evergreen Forest to Scrub/Shrub,0,1137,24395
239,Evergreen Forest to Palustrine Forested Wetland,0,2,18
240,Evergreen Forest to Palustrine Scrub/Shrub Wetland,0,1,175
241,Evergreen Forest to Palustrine Emergent Wetland,0,0,16
242,Evergreen Forest to Estuarine Forested Wetland,0,0,0
243,Evergreen Forest to Estuarine Scrub/Shrub Wetland,0,0,0
244,Evergreen Forest to Estuarine Emergent Wetland,0,0,0
245,Evergreen Forest to Unconsolidated Shore,0,0,0
246,Evergreen Forest to Bare Land,0,518,1018
247,Evergreen Forest to Water,0,127,85
248,Evergreen Forest to Palustrine Aquatic Bed,0,0,0
249,Evergreen Forest to Estuarine Aquatic Bed,0,0,0
250,Evergreen Forest to Tundra,0,0,0
251,Evergreen Forest to Snow/Ice,0,0,0
252,Mixed Forest to Unclassified,0,0,0
253,Mixed Forest to High Intensity Developed,0,0,0
254,Mixed Forest to Medium Intensity Developed,0,0,0
255,Mixed Forest to Low Intensity Developed,0,3,0
256,Mixed Forest to Developed Open Space,0,7,0
257,Mixed Forest to Cultivated,0,0,0
258,Mixed Forest to Pasture/Hay,0,0,0
259,Mixed Forest to Grassland,0,63,1
260,Mixed Forest to Deciduous Forest,0,0,0
261,Mixed Forest to Evergreen Forest,0,0,0
262,Mixed Forest to Mixed Forest,0,3770,553
263,Mixed Forest to Scrub/Shrub,0,15,33
264,Mixed Forest to Palustrine Forested Wetland,0,0,0
265,Mixed Forest to Palustrine Scrub/Shrub Wetland,0,0,0
266,Mixed Forest to Palustrine Emergent Wetland,0,0,0
267,Mixed Forest to Estuarine Forested Wetland,0,0,0
268,Mixed Forest to Estuarine Scrub/Shrub Wetland,0,0,0
269,Mixed Forest to Estuarine Emergent Wetland,0,0,0
270,Mixed Forest to Unconsolidated Shore,0,0,0
271,Mixed Forest to Bare Land,0,4,0
272,Mixed Forest to Water,0,0,0
273,Mixed Forest to Palustrine Aquatic Bed,0,0,0
274,Mixed Forest to Estuarine Aquatic Bed,0,0,0
275,Mixed Forest to Tundra,0,0,0
276,Mixed Forest to Snow/Ice,0,0,0
277,Scrub/Shrub to Unclassified,0,0,0
278,Scrub/Shrub to High Intensity Developed,0,32,41
279,Scrub/Shrub to Medium Intensity Developed,0,129,65
280,Scrub/Shrub to Low Intensity Developed,0,217,50
281,Scrub/Shrub to Developed Open Space,0,447,237
282,Scrub/Shrub to Cultivated,0,0,0
283,Scrub/Shrub to Pasture/Hay,0,0,0
284,Scrub/Shrub to Grassland,0,1621,1734
285,Scrub/Shrub to Deciduous Forest,0,68,53
286,Scrub/Shrub to Evergreen Forest,0,1334,17477
287,Scrub/Shrub to Mixed Forest,0,31,118
288,Scrub/Shrub to Scrub/Shrub,0,46650,35433
289,Scrub/Shrub to Palustrine Forested Wetland,0,0,4
290,Scrub/Shrub to Palustrine Scrub/Shrub Wetland,0,1,14
291,Scrub/Shrub to Palustrine Emergent Wetland,0,0,2
292,Scrub/Shrub to Estuarine Forested Wetland,0,0,0
293,Scrub/Shrub to Estuarine Scrub/Shrub Wetland,0,0,0
294,Scrub/Shrub to Estuarine Emergent Wetland,0,0,0
295,Scrub/Shrub to Unconsolidated Shore,0,0,0
296,Scrub/Shrub to Bare Land,0,117,674
297,Scrub/Shrub to Water,0,57,101
298,Scrub/Shrub to Palustrine Aquatic Bed,0,0,0
299,Scrub/Shrub to Estuarine Aquatic Bed,0,0,0
300,Scrub/Shrub to Tundra,0,0,0
301,Scrub/Shrub to Snow/Ice,0,0,0
302,Palustrine Forested Wetland to Unclassified,0,0,0
303,Palustrine Forested Wetland to High Intensity Developed,0,18,16
304,Palustrine Forested Wetland to Medium Intensity Developed,0,61,81
305,Palustrine Forested Wetland to Low Intensity Developed,0,156,52
306,Palustrine Forested Wetland to Developed Open Space,0,116,621
307,Palustrine Forested Wetland to Cultivated,0,0,0
308,Palustrine Forested Wetland to Pasture/Hay,0,0,0
309,Palustrine Forested Wetland to Grassland,0,0,1
310,Palustrine Forested Wetland to Deciduous Forest,0,0,0
311,Palustrine Forested Wetland to Evergreen Forest,0,0,3
312,Palustrine Forested Wetland to Mixed Forest,0,0,0
313,Palustrine Forested Wetland to Scrub/Shrub,0,0,23
314,Palustrine Forested Wetland to Palustrine Forested Wetland,730,98790,86643
315,Palustrine Forested Wetland to Palustrine Scrub/Shrub Wetland,0,2037,11384
316,Palustrine Forested Wetland to Palustrine Emergent Wetland,0,1590,2141
317,Palustrine Forested Wetland to Estuarine Forested Wetland,0,0,0
318,Palustrine Forested Wetland to Estuarine Scrub/Shrub Wetland,0,0,0
319,Palustrine Forested Wetland to Estuarine Emergent Wetland,0,0,0
320,Palustrine Forested Wetland to Unconsolidated Shore,0,0,1
321,Palustrine Forested Wetland to Bare Land,0,48,387
322,Palustrine Forested Wetland to Water,0,155,39
323,Palustrine Forested Wetland to Palustrine Aquatic Bed,0,0,0
324,Palustrine Forested Wetland to Estuarine Aquatic Bed,0,0,0
325,Palustrine Forested Wetland to Tundra,0,0,0
326,Palustrine Forested Wetland to Snow/Ice,0,0,0
327,Palustrine Scrub/Shrub Wetland to Unclassified,0,0,0
328,Palustrine Scrub/Shrub Wetland to High Intensity Developed,0,4,6
329,Palustrine Scrub/Shrub Wetland to Medium Intensity Developed,0,39,26
330,Palustrine Scrub/Shrub Wetland to Low Intensity Developed,0,110,15
331,Palustrine Scrub/Shrub Wetland to Developed Open Space,0,125,146
332,Palustrine Scrub/Shrub Wetland to Cultivated,0,0,0
333,Palustrine Scrub/Shrub Wetland to Pasture/Hay,0,0,0
334,Palustrine Scrub/Shrub Wetland to Grassland,0,8,2
335,Palustrine Scrub/Shrub Wetland to Deciduous Forest,0,0,0
336,Palustrine Scrub/Shrub Wetland to Evergreen Forest,0,1,0
337,Palustrine Scrub/Shrub Wetland to Mixed Forest,0,0,0
338,Palustrine Scrub/Shrub Wetland to Scrub/Shrub,0,4,1
339,Palustrine Scrub/Shrub Wetland to Palustrine Forested Wetland,0,1706,16642
340,Palustrine Scrub/Shrub Wetland to Palustrine Scrub/Shrub Wetland,5,47123,37934
341,Palustrine Scrub/Shrub Wetland to Palustrine Emergent Wetland,0,502,1271
342,Palustrine Scrub/Shrub Wetland to Estuarine Forested Wetland,0,0,0
343,Palustrine Scrub/Shrub Wetland to Estuarine Scrub/Shrub Wetland,0,0,0
344,Palustrine Scrub/Shrub Wetland to Estuarine Emergent Wetland,0,0,0
345,Palustrine Scrub/Shrub Wetland to Unconsolidated Shore,0,0,8
346,Palustrine Scrub/Shrub Wetland to Bare Land,0,71,233
347,Palustrine Scrub/Shrub Wetland to Water,0,10,59
348,Palustrine Scrub/Shrub Wetland to Palustrine Aquatic Bed,0,0,0
349,Palustrine Scrub/Shrub Wetland to Estuarine Aquatic Bed,0,0,0
350,Palustrine Scrub/Shrub Wetland to Tundra,0,0,0
351,Palustrine Scrub/Shrub Wetland to Snow/Ice,0,0,0
352,Palustrine Emergent Wetland to Unclassified,0,0,0
353,Palustrine Emergent Wetland to High Intensity Developed,0,1,8
354,Palustrine Emergent Wetland to Medium Intensity Developed,0,24,15
355,Palustrine Emergent Wetland to Low Intensity Developed,0,12,21
356,Palustrine Emergent Wetland to Developed Open Space,0,43,34
357,Palustrine Emergent Wetland to Cultivated,0,0,0
358,Palustrine Emergent Wetland to Pasture/Hay,0,0,0
359,Palustrine Emergent Wetland to Grassland,0,0,0
360,Palustrine Emergent Wetland to Deciduous Forest,0,0,0
361,Palustrine Emergent Wetland to Evergreen Forest,0,0,0
362,Palustrine Emergent Wetland to Mixed Forest,0,0,0
363,Palustrine Emergent Wetland to Scrub/Shrub,0,0,0
364,Palustrine Emergent Wetland to Palustrine Forested Wetland,0,252,1
365,Palustrine Emergent Wetland to Palustrine Scrub/Shrub Wetland,0,313,3432
366,Palustrine Emergent Wetland to Palustrine Emergent Wetland,5,12845,14508
367,Palustrine Emergent Wetland to Estuarine Forested Wetland,0,0,0
368,Palustrine Emergent Wetland to Estuarine Scrub/Shrub Wetland,0,0,0
369,Palustrine Emergent Wetland to Estuarine Emergent Wetland,0,0,0
370,Palustrine Emergent Wetland to Unconsolidated Shore,0,1,4
371,Palustrine Emergent Wetland to Bare Land,0,2,23
372,Palustrine Emergent Wetland to Water,0,5,12
373,Palustrine Emergent Wetland to Palustrine Aquatic Bed,0,0,0
374,Palustrine Emergent Wetland to Estuarine Aquatic Bed,0,0,0
375,Palustrine Emergent Wetland to Tundra,0,0,0
376,Palustrine Emergent Wetland to Snow/Ice,0,0,0
377,Estuarine Forested Wetland to Unclassified,0,0,0
378,Estuarine Forested Wetland to High Intensity Developed,0,0,0
379,Estuarine Forested Wetland to Medium Intensity Developed,0,0,0
380,Estuarine Forested Wetland to Low Intensity Developed,0,0,0
381,Estuarine Forested Wetland to Developed Open Space,0,0,0
382,Estuarine Forested Wetland to Cultivated,0,0,0
383,Estuarine Forested Wetland to Pasture/Hay,0,0,0
384,Estuarine Forested Wetland to Grassland,0,0,0
385,Estuarine Forested Wetland to Deciduous Forest,0,0,0
386,Estuarine Forested Wetland to Evergreen Forest,0,0,0
387,Estuarine Forested Wetland to Mixed Forest,0,0,0
388,Estuarine Forested Wetland to Scrub/Shrub,0,0,0
389,Estuarine Forested Wetland to Palustrine Forested Wetland,0,0,0
390,Estuarine Forested Wetland to Palustrine Scrub/Shrub Wetland,0,0,0
391,Estuarine Forested Wetland to Palustrine Emergent Wetland,0,0,0
392,Estuarine Forested Wetland to Estuarine Forested Wetland,0,0,0
393,Estuarine Forested Wetland to Estuarine Scrub/Shrub Wetland,0,0,0
394,Estuarine Forested Wetland to Estuarine Emergent Wetland,0,0,0
395,Estuarine Forested Wetland to Unconsolidated Shore,0,0,0
396,Estuarine Forested Wetland to Bare Land,0,0,0
397,Estuarine Forested Wetland to Water,0,0,0
398,Estuarine Forested Wetland to Palustrine Aquatic Bed,0,0,0
399,Estuarine Forested Wetland to Estuarine Aquatic Bed,0,0,0
400,Estuarine Forested Wetland to Tundra,0,0,0
401,Estuarine Forested Wetland to Snow/Ice,0,0,0
402,Estuarine Scrub/Shrub Wetland to Unclassified,0,0,0
403,Estuarine Scrub/Shrub Wetland to High Intensity Developed,0,0,0
404,Estuarine Scrub/Shrub Wetland to Medium Intensity Developed,0,0,0
405,Estuarine Scrub/Shrub Wetland to Low Intensity Developed,0,7,0
406,Estuarine Scrub/Shrub Wetland to Developed Open Space,0,10,7
407,Estuarine Scrub/Shrub Wetland to Cultivated,0,0,0
408,Estuarine Scrub/Shrub Wetland to Pasture/Hay,0,0,0
409,Estuarine Scrub/Shrub Wetland to Grassland,0,0,0
410,Estuarine Scrub/Shrub Wetland to Deciduous Forest,0,0,0
411,Estuarine Scrub/Shrub Wetland to Evergreen Forest,0,0,0
412,Estuarine Scrub/Shrub Wetland to Mixed Forest,0,0,0
413,Estuarine Scrub/Shrub Wetland to Scrub/Shrub,0,0,0
414,Estuarine Scrub/Shrub Wetland to Palustrine Forested Wetland,0,0,0
415,Estuarine Scrub/Shrub Wetland to Palustrine Scrub/Shrub Wetland,0,0,0
416,Estuarine Scrub/Shrub Wetland to Palustrine Emergent Wetland,0,0,0
417,Estuarine Scrub/Shrub Wetland to Estuarine Forested Wetland,0,0,223
418,Estuarine Scrub/Shrub Wetland to Estuarine Scrub/Shrub Wetland,0,356,913
419,Estuarine Scrub/Shrub Wetland to Estuarine Emergent Wetland,0,13,93
420,Estuarine Scrub/Shrub Wetland to Unconsolidated Shore,0,0,0
421,Estuarine Scrub/Shrub Wetland to Bare Land,0,1,0
422,Estuarine Scrub/Shrub Wetland to Water,0,0,3
423,Estuarine Scrub/Shrub Wetland to Palustrine Aquatic Bed,0,0,0
424,Estuarine Scrub/Shrub Wetland to Estuarine Aquatic Bed,0,0,0
425,Estuarine Scrub/Shrub Wetland to Tundra,0,0,0
426,Estuarine Scrub/Shrub Wetland to Snow/Ice,0,0,0
427,Estuarine Emergent Wetland to Unclassified,0,0,0
428,Estuarine Emergent Wetland to High Intensity Developed,0,0,1
429,Estuarine Emergent Wetland to Medium Intensity Developed,0,11,0
430,Estuarine Emergent Wetland to Low Intensity Developed,0,11,1
431,Estuarine Emergent Wetland to Developed Open Space,0,63,32
432,Estuarine Emergent Wetland to Cultivated,0,0,0
433,Estuarine Emergent Wetland to Pasture/Hay,0,0,0
434,Estuarine Emergent Wetland to Grassland,0,1,0
435,Estuarine Emergent Wetland to Deciduous Forest,0,0,0
436,Estuarine Emergent Wetland to Evergreen Forest,0,0,0
437,Estuarine Emergent Wetland to Mixed Forest,0,0,0
438,Estuarine Emergent Wetland to Scrub/Shrub,0,0,0
439,Estuarine Emergent Wetland to Palustrine Forested Wetland,0,0,0
440,Estuarine Emergent Wetland to Palustrine Scrub/Shrub Wetland,0,0,0
441,Estuarine Emergent Wetland to Palustrine Emergent Wetland,0,0,0
442,Estuarine Emergent Wetland to Estuarine Forested Wetland,0,1,0
443,Estuarine Emergent Wetland to Estuarine Scrub/Shrub Wetland,0,7,228
444,Estuarine Emergent Wetland to Estuarine Emergent Wetland,0,57317,69162
445,Estuarine Emergent Wetland to Unconsolidated Shore,0,8,34
446,Estuarine Emergent Wetland to Bare Land,0,20,0
447,Estuarine Emergent Wetland to Water,0,4,252
448,Estuarine Emergent Wetland to Palustrine Aquatic Bed,0,0,0
449,Estuarine Emergent Wetland to Estuarine Aquatic Bed,0,0,0
450,Estuarine Emergent Wetland to Tundra,0,0,0
451,Estuarine Emergent Wetland to Snow/Ice,0,0,0
452,Unconsolidated Shore to Unclassified,0,0,0
453,Unconsolidated Shore to High Intensity Developed,0,0,0
454,Unconsolidated Shore to Medium Intensity Developed,0,1,0
455,Unconsolidated Shore to Low Intensity Developed,0,0,0
456,Unconsolidated Shore to Developed Open Space,0,0,0
457,Unconsolidated Shore to Cultivated,0,0,0
458,Unconsolidated Shore to Pasture/Hay,0,0,0
459,Unconsolidated Shore to Grassland,0,0,0
460,Unconsolidated Shore to Deciduous Forest,0,0,0
461,Unconsolidated Shore to Evergreen Forest,0,0,0
462,Unconsolidated Shore to Mixed Forest,0,0,0
463,Unconsolidated Shore to Scrub/Shrub,0,0,0
464,Unconsolidated Shore to Palustrine Forested Wetland,0,0,0
465,Unconsolidated Shore to Palustrine Scrub/Shrub Wetland,0,0,2
466,Unconsolidated Shore to Palustrine Emergent Wetland,0,0,0
467,Unconsolidated Shore to Estuarine Forested Wetland,0,0,0
468,Unconsolidated Shore to Estuarine Scrub/Shrub Wetland,0,0,0
469,Unconsolidated Shore to Estuarine Emergent Wetland,0,5,0
470,Unconsolidated Shore to Unconsolidated Shore,0,1419,839
471,Unconsolidated Shore to Bare Land,0,16,0
472,Unconsolidated Shore to Water,0,36,16
473,Unconsolidated Shore to Palustrine Aquatic Bed,0,0,0
474,Unconsolidated Shore to Estuarine Aquatic Bed,0,0,0
475,Unconsolidated Shore to Tundra,0,0,0
476,Unconsolidated Shore to Snow/Ice,0,0,0
477,Bare Land to Unclassified,0,0,0
478,Bare Land to High Intensity Developed,0,6,5
479,Bare Land to Medium Intensity Developed,0,107,15
480,Bare Land to Low Intensity Developed,0,206,69
481,Bare Land to Developed Open Space,0,154,36
482,Bare Land to Cultivated,0,0,0
483,Bare Land to Pasture/Hay,0,0,0
484,Bare Land to Grassland,0,38,5
485,Bare Land to Deciduous Forest,0,0,0
