OBJECTID,LABEL,FLAB,FLAL,FLBA,FLBI,FLCE,FLCK,FLCO,FLCR,FLDB,FLDC,FLFD,FLFG,FLFL,FLFM,FLFP,FLJD,FLKD,FLKL,FLKW,FLLK,FLLO,FLMI,FLMT,FLNA,FLNP,FLNR,FLPI,FLPR,FLSA,FLSB,FLSC,FLSP,FLSR,FLST,FLTA,FLTT,FLVE,FLWP
1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Dense Mangrove,103,3606,14398,14813,89638,215,2417,123,25,3503,1668,119,351,26924,6695,2550,7959,9573,9478,10010,857,4403,256,13431,3282,2283,4624,7100,67,3196,3076,11187,1595,4059,1252,126151,1121,289
3,Open Mangrove,561,1653,6816,7261,34378,103,7131,671,169,1063,557,296,218,36168,3421,1239,2345,2397,10329,10989,1539,13512,1744,16446,2198,3255,9058,23097,676,1919,13105,3455,1039,3660,391,51069,2944,162
4,Open Water,62279,58019,140117,151056,321328,214717,206347,50557,33993,95555,252575,11894,5634,172143,77104,66570,40005,465184,387555,372183,29048,185212,60492,164078,169184,122051,47923,181421,57047,88446,243254,180472,145511,138107,42358,159984,135772,35667
5,Other Vegetation,227742,193448,204625,10321,41798,130504,67866,297757,46371,7326,4442,37880,2167,44939,96352,150752,16059,4290,8733,35228,6195,156341,64750,149641,194034,128405,50478,95931,53422,99960,14851,140107,108777,167713,207571,82206,136831,12352
6,Urban/Impervious,108905,74793,119883,3639,4765,8412,42785,58176,20399,71280,11312,7212,30729,193627,82251,67894,27180,11377,17299,6080,27695,11888,9397,103632,98909,95828,19746,145876,12411,47682,14454,152820,78167,142520,139940,47762,102460,38759
7,grassland/wetland,54349,32336,32145,7502,15786,120220,39758,112010,21141,10861,958,12191,4749,40000,5567,12189,5120,1144,9404,14630,161516,88797,17861,44897,53064,47776,30213,61953,23978,9035,8150,31369,20739,12157,68609,42865,45361,4026
8,sparse mangrove,0,0,0,4118,79,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,1186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
